date,year,month,soi
1958-02-01,1958,2,-0.8
1958-02-01,1958,2,-0.5
1958-03-01,1958,3,0.3
1958-03-01,1958,3,0.4
1958-04-01,1958,4,0.4
1958-04-01,1958,4,0.6
1958-05-01,1958,5,-0.5
1958-05-01,1958,5,-0.8
1958-06-01,1958,6,0.3
1958-06-01,1958,6,0.5
1958-07-01,1958,7,0.7
1958-07-01,1958,7,0.4
1958-08-01,1958,8,0.9
1958-08-01,1958,8,1.5
1958-09-01,1958,9,-0.3
1958-09-01,1958,9,-0.5
1958-10-01,1958,10,0.1
1958-10-01,1958,10,0.1
1958-11-01,1958,11,-0.4
1958-11-01,1958,11,-0.7
1958-12-01,1958,12,-0.6
1958-12-01,1958,12,-1.0
1959-01-01,1959,1,-0.9
1959-01-01,1959,1,-1.5
1959-02-01,1959,2,-2.3
1959-02-01,1959,2,-1.4
1959-03-01,1959,3,2.1
1959-03-01,1959,3,1.3
1959-04-01,1959,4,0.7
1959-04-01,1959,4,0.4
1959-05-01,1959,5,0.8
1959-05-01,1959,5,0.5
1959-06-01,1959,6,-0.2
1959-06-01,1959,6,-0.1
1959-07-01,1959,7,-0.4
1959-07-01,1959,7,-0.3
1959-08-01,1959,8,-0.2
1959-08-01,1959,8,-0.1
1959-09-01,1959,9,0.0
1959-09-01,1959,9,0.0
1959-10-01,1959,10,0.8
1959-10-01,1959,10,0.5
1959-11-01,1959,11,1.5
1959-11-01,1959,11,0.9
1959-12-01,1959,12,1.5
1959-12-01,1959,12,0.9
1960-01-01,1960,1,0.2
1960-01-01,1960,1,0.1
1960-02-01,1960,2,0.2
1960-02-01,1960,2,0.1
1960-03-01,1960,3,1.7
1960-03-01,1960,3,1.0
1960-04-01,1960,4,1.3
1960-04-01,1960,4,0.8
1960-05-01,1960,5,0.9
1960-05-01,1960,5,0.5
1960-06-01,1960,6,0.2
1960-06-01,1960,6,0.1
1960-07-01,1960,7,0.8
1960-07-01,1960,7,0.5
1960-08-01,1960,8,1.3
1960-08-01,1960,8,0.8
1960-09-01,1960,9,1.1
1960-09-01,1960,9,0.7
1960-10-01,1960,10,0.2
1960-10-01,1960,10,0.1
1960-11-01,1960,11,0.9
1960-11-01,1960,11,0.5
1960-12-01,1960,12,1.3
1960-12-01,1960,12,0.8
1961-01-01,1961,1,-0.4
1961-01-01,1961,1,-0.3
1961-02-01,1961,2,1.5
1961-02-01,1961,2,0.9
1961-03-01,1961,3,-3.0
1961-03-01,1961,3,-1.8
1961-04-01,1961,4,1.3
1961-04-01,1961,4,0.8
1961-05-01,1961,5,0.5
1961-05-01,1961,5,0.3
1961-06-01,1961,6,0.1
1961-06-01,1961,6,0.2
1961-07-01,1961,7,0.2
1961-07-01,1961,7,0.4
1961-08-01,1961,8,0.2
1961-08-01,1961,8,0.2
1961-09-01,1961,9,0.1
1961-09-01,1961,9,0.1
1961-10-01,1961,10,-0.3
1961-10-01,1961,10,-0.5
1961-11-01,1961,11,0.5
1961-11-01,1961,11,0.9
1961-12-01,1961,12,1.5
1961-12-01,1961,12,2.5
1962-01-01,1962,1,3.3
1962-01-01,1962,1,2.0
1962-02-01,1962,2,-0.5
1962-02-01,1962,2,-0.3
1962-03-01,1962,3,0.2
1962-03-01,1962,3,0.1
1962-04-01,1962,4,0.3
1962-04-01,1962,4,0.2
1962-05-01,1962,5,1.8
1962-05-01,1962,5,1.1
1962-06-01,1962,6,1.2
1962-06-01,1962,6,0.7
1962-07-01,1962,7,0.1
1962-07-01,1962,7,0.1
1962-08-01,1962,8,1.0
1962-08-01,1962,8,0.6
1962-09-01,1962,9,0.7
1962-09-01,1962,9,0.4
1962-10-01,1962,10,1.6
1962-10-01,1962,10,1.0
1962-11-01,1962,11,0.3
1962-11-01,1962,11,0.5
1962-12-01,1962,12,0.2
1962-12-01,1962,12,0.3
1963-01-01,1963,1,1.0
1963-01-01,1963,1,1.7
1963-02-01,1963,2,0.6
1963-02-01,1963,2,0.9
1963-03-01,1963,3,1.1
1963-03-01,1963,3,1.9
1963-04-01,1963,4,1.3
1963-04-01,1963,4,0.8
1963-05-01,1963,5,0.4
1963-05-01,1963,5,0.6
1963-06-01,1963,6,-0.8
1963-06-01,1963,6,-0.5
1963-07-01,1963,7,-0.1
1963-07-01,1963,7,-0.2
1963-08-01,1963,8,0.0
1963-08-01,1963,8,0.0
1963-09-01,1963,9,-1.0
1963-09-01,1963,9,-0.6
1963-10-01,1963,10,-1.2
1963-10-01,1963,10,-2.0
1963-11-01,1963,11,-0.8
1963-11-01,1963,11,-1.4
1963-12-01,1963,12,-1.2
1963-12-01,1963,12,-2.0
1964-01-01,1964,1,-0.4
1964-01-01,1964,1,-0.6
1964-02-01,1964,2,0.0
1964-02-01,1964,2,0.1
1964-03-01,1964,3,1.9
1964-03-01,1964,3,1.1
1964-04-01,1964,4,1.8
1964-04-01,1964,4,1.1
1964-05-01,1964,5,0.4
1964-05-01,1964,5,0.2
1964-06-01,1964,6,1.2
1964-06-01,1964,6,0.8
1964-07-01,1964,7,0.6
1964-07-01,1964,7,0.9
1964-08-01,1964,8,2.5
1964-08-01,1964,8,1.5
1964-09-01,1964,9,2.1
1964-09-01,1964,9,1.3
1964-10-01,1964,10,2.2
1964-10-01,1964,10,1.3
1964-11-01,1964,11,0.2
1964-11-01,1964,11,0.3
1964-12-01,1964,12,-0.5
1964-12-01,1964,12,-0.3
1965-01-01,1965,1,-0.4
1965-01-01,1965,1,-0.7
1965-02-01,1965,2,0.7
1965-02-01,1965,2,0.4
1965-03-01,1965,3,1.2
1965-03-01,1965,3,0.8
1965-04-01,1965,4,-0.5
1965-04-01,1965,4,-0.9
1965-05-01,1965,5,0.3
1965-05-01,1965,5,0.2
1965-06-01,1965,6,-0.9
1965-06-01,1965,6,-0.6
1965-07-01,1965,7,-1.8
1965-07-01,1965,7,-3.0
1965-08-01,1965,8,-1.1
1965-08-01,1965,8,-0.7
1965-09-01,1965,9,-2.2
1965-09-01,1965,9,-1.3
1965-10-01,1965,10,-0.9
1965-10-01,1965,10,-1.5
1965-11-01,1965,11,-1.5
1965-11-01,1965,11,-2.4
1965-12-01,1965,12,0.2
1965-12-01,1965,12,0.3
1966-01-01,1966,1,-1.3
1966-01-01,1966,1,-2.2
1966-02-01,1966,2,-0.2
1966-02-01,1966,2,-0.4
1966-03-01,1966,3,-0.9
1966-03-01,1966,3,-1.5
1966-04-01,1966,4,-0.2
1966-04-01,1966,4,-0.3
1966-05-01,1966,5,-0.4
1966-05-01,1966,5,-0.7
1966-06-01,1966,6,0.3
1966-06-01,1966,6,0.5
1966-07-01,1966,7,0.1
1966-07-01,1966,7,0.1
1966-08-01,1966,8,1.1
1966-08-01,1966,8,0.6
1966-09-01,1966,9,-0.2
1966-09-01,1966,9,-0.4
1966-10-01,1966,10,-0.2
1966-10-01,1966,10,-0.1
1966-11-01,1966,11,-0.0
1966-11-01,1966,11,-0.0
1966-12-01,1966,12,-0.6
1966-12-01,1966,12,-0.3
1967-01-01,1967,1,2.8
1967-01-01,1967,1,1.7
1967-02-01,1967,2,1.7
1967-02-01,1967,2,2.8
1967-03-01,1967,3,1.2
1967-03-01,1967,3,2.0
1967-04-01,1967,4,-0.0
1967-04-01,1967,4,-0.1
1967-05-01,1967,5,-0.0
1967-05-01,1967,5,-0.0
1967-06-01,1967,6,0.6
1967-06-01,1967,6,1.1
1967-07-01,1967,7,0.2
1967-07-01,1967,7,0.3
1967-08-01,1967,8,0.7
1967-08-01,1967,8,1.2
1967-09-01,1967,9,0.5
1967-09-01,1967,9,0.8
1967-10-01,1967,10,0.1
1967-10-01,1967,10,0.1
1967-11-01,1967,11,-0.4
1967-11-01,1967,11,-0.7
1967-12-01,1967,12,-0.9
1967-12-01,1967,12,-0.6
1968-01-01,1968,1,0.5
1968-01-01,1968,1,0.9
1968-02-01,1968,2,1.3
1968-02-01,1968,2,2.1
1968-03-01,1968,3,0.1
1968-03-01,1968,3,0.2
1968-04-01,1968,4,0.0
1968-04-01,1968,4,0.0
1968-05-01,1968,5,1.2
1968-05-01,1968,5,2.1
1968-06-01,1968,6,1.1
1968-06-01,1968,6,1.8
1968-07-01,1968,7,1.1
1968-07-01,1968,7,0.7
1968-08-01,1968,8,0.3
1968-08-01,1968,8,0.4
1968-09-01,1968,9,-0.4
1968-09-01,1968,9,-0.3
1968-10-01,1968,10,-0.1
1968-10-01,1968,10,-0.1
1968-11-01,1968,11,-0.6
1968-11-01,1968,11,-0.3
1968-12-01,1968,12,0.2
1968-12-01,1968,12,0.3
1969-01-01,1969,1,-2.4
1969-01-01,1969,1,-1.5
1969-02-01,1969,2,-0.9
1969-02-01,1969,2,-0.5
1969-03-01,1969,3,0.7
1969-03-01,1969,3,0.4
1969-04-01,1969,4,-0.4
1969-04-01,1969,4,-0.6
1969-05-01,1969,5,-0.4
1969-05-01,1969,5,-0.2
1969-06-01,1969,6,0.3
1969-06-01,1969,6,0.2
1969-07-01,1969,7,-0.5
1969-07-01,1969,7,-0.8
1969-08-01,1969,8,-0.1
1969-08-01,1969,8,-0.2
1969-09-01,1969,9,-1.6
1969-09-01,1969,9,-1.0
1969-10-01,1969,10,-1.5
1969-10-01,1969,10,-0.9
1969-11-01,1969,11,-0.1
1969-11-01,1969,11,-0.1
1969-12-01,1969,12,0.4
1969-12-01,1969,12,0.7
1970-01-01,1970,1,-1.9
1970-01-01,1970,1,-1.1
1970-02-01,1970,2,-1.7
1970-02-01,1970,2,-1.0
1970-03-01,1970,3,1.0
1970-03-01,1970,3,0.6
1970-04-01,1970,4,-0.1
1970-04-01,1970,4,-0.1
1970-05-01,1970,5,0.6
1970-05-01,1970,5,0.4
1970-06-01,1970,6,1.6
1970-06-01,1970,6,1.0
1970-07-01,1970,7,-0.6
1970-07-01,1970,7,-0.4
1970-08-01,1970,8,1.0
1970-08-01,1970,8,0.6
1970-09-01,1970,9,1.9
1970-09-01,1970,9,1.2
1970-10-01,1970,10,1.7
1970-10-01,1970,10,1.0
1970-11-01,1970,11,2.6
1970-11-01,1970,11,1.6
1970-12-01,1970,12,3.2
1970-12-01,1970,12,1.9
1971-01-01,1971,1,0.6
1971-01-01,1971,1,0.4
1971-02-01,1971,2,3.3
1971-02-01,1971,2,2.0
1971-03-01,1971,3,3.8
1971-03-01,1971,3,2.3
1971-04-01,1971,4,2.8
1971-04-01,1971,4,1.7
1971-05-01,1971,5,1.4
1971-05-01,1971,5,0.9
1971-06-01,1971,6,0.7
1971-06-01,1971,6,0.4
1971-07-01,1971,7,0.4
1971-07-01,1971,7,0.2
1971-08-01,1971,8,1.5
1971-08-01,1971,8,2.5
1971-09-01,1971,9,1.4
1971-09-01,1971,9,2.3
1971-10-01,1971,10,1.7
1971-10-01,1971,10,2.8
1971-11-01,1971,11,0.9
1971-11-01,1971,11,0.5
1971-12-01,1971,12,0.3
1971-12-01,1971,12,0.4
1972-01-01,1972,1,0.5
1972-01-01,1972,1,0.8
1972-02-01,1972,2,1.1
1972-02-01,1972,2,1.8
1972-03-01,1972,3,1.1
1972-03-01,1972,3,0.6
1972-04-01,1972,4,-0.1
1972-04-01,1972,4,-0.2
1972-05-01,1972,5,-1.6
1972-05-01,1972,5,-2.6
1972-06-01,1972,6,-0.5
1972-06-01,1972,6,-0.9
1972-07-01,1972,7,-1.4
1972-07-01,1972,7,-2.4
1972-08-01,1972,8,-0.5
1972-08-01,1972,8,-0.8
1972-09-01,1972,9,-1.4
1972-09-01,1972,9,-2.2
1972-10-01,1972,10,-0.9
1972-10-01,1972,10,-1.5
1972-11-01,1972,11,-0.3
1972-11-01,1972,11,-0.6
1972-12-01,1972,12,-1.3
1972-12-01,1972,12,-2.1
1973-01-01,1973,1,-0.3
1973-01-01,1973,1,-0.5
1973-02-01,1973,2,-1.4
1973-02-01,1973,2,-2.3
1973-03-01,1973,3,0.7
1973-03-01,1973,3,1.2
1973-04-01,1973,4,0.1
1973-04-01,1973,4,0.1
1973-05-01,1973,5,0.4
1973-05-01,1973,5,0.7
1973-06-01,1973,6,1.1
1973-06-01,1973,6,1.8
1973-07-01,1973,7,0.6
1973-07-01,1973,7,1.0
1973-08-01,1973,8,1.3
1973-08-01,1973,8,2.1
1973-09-01,1973,9,1.2
1973-09-01,1973,9,2.0
1973-10-01,1973,10,0.8
1973-10-01,1973,10,1.3
1973-11-01,1973,11,2.6
1973-11-01,1973,11,4.3
1973-12-01,1973,12,1.8
1973-12-01,1973,12,3.0
1974-01-01,1974,1,2.4
1974-01-01,1974,1,4.0
1974-02-01,1974,2,2.1
1974-02-01,1974,2,3.4
1974-03-01,1974,3,2.4
1974-03-01,1974,3,4.0
1974-04-01,1974,4,0.9
1974-04-01,1974,4,1.6
1974-05-01,1974,5,1.0
1974-05-01,1974,5,1.6
1974-06-01,1974,6,0.4
1974-06-01,1974,6,0.7
1974-07-01,1974,7,1.1
1974-07-01,1974,7,1.9
1974-08-01,1974,8,0.8
1974-08-01,1974,8,1.3
1974-09-01,1974,9,1.1
1974-09-01,1974,9,1.8
1974-10-01,1974,10,1.5
1974-10-01,1974,10,0.9
1974-11-01,1974,11,-0.2
1974-11-01,1974,11,-0.1
1974-12-01,1974,12,0.2
1974-12-01,1974,12,0.3
1975-01-01,1975,1,-0.5
1975-01-01,1975,1,-0.8
1975-02-01,1975,2,0.8
1975-02-01,1975,2,1.3
1975-03-01,1975,3,1.6
1975-03-01,1975,3,2.6
1975-04-01,1975,4,1.2
1975-04-01,1975,4,1.9
1975-05-01,1975,5,0.6
1975-05-01,1975,5,1.1
1975-06-01,1975,6,1.3
1975-06-01,1975,6,2.1
1975-07-01,1975,7,3.1
1975-07-01,1975,7,1.9
1975-08-01,1975,8,3.3
1975-08-01,1975,8,2.0
1975-09-01,1975,9,2.1
1975-09-01,1975,9,3.4
1975-10-01,1975,10,1.7
1975-10-01,1975,10,2.8
1975-11-01,1975,11,1.9
1975-11-01,1975,11,1.2
1975-12-01,1975,12,3.5
1975-12-01,1975,12,2.1
1976-01-01,1976,1,1.4
1976-01-01,1976,1,2.3
1976-02-01,1976,2,2.8
1976-02-01,1976,2,1.7
1976-03-01,1976,3,2.9
1976-03-01,1976,3,1.7
1976-04-01,1976,4,0.5
1976-04-01,1976,4,0.3
1976-05-01,1976,5,0.6
1976-05-01,1976,5,0.4
1976-06-01,1976,6,0.4
1976-06-01,1976,6,0.3
1976-07-01,1976,7,-1.4
1976-07-01,1976,7,-0.9
1976-08-01,1976,8,-1.3
1976-08-01,1976,8,-0.8
1976-09-01,1976,9,-1.9
1976-09-01,1976,9,-1.1
1976-10-01,1976,10,0.7
1976-10-01,1976,10,0.4
1976-11-01,1976,11,1.2
1976-11-01,1976,11,0.7
1976-12-01,1976,12,-0.3
1976-12-01,1976,12,-0.6
1977-01-01,1977,1,-0.7
1977-01-01,1977,1,-0.4
1977-02-01,1977,2,1.2
1977-02-01,1977,2,2.0
1977-03-01,1977,3,-0.5
1977-03-01,1977,3,-0.9
1977-04-01,1977,4,-0.4
1977-04-01,1977,4,-0.7
1977-05-01,1977,5,-0.5
1977-05-01,1977,5,-0.8
1977-06-01,1977,6,-1.5
1977-06-01,1977,6,-0.9
1977-07-01,1977,7,-1.9
1977-07-01,1977,7,-1.1
1977-08-01,1977,8,-1.3
1977-08-01,1977,8,-0.8
1977-09-01,1977,9,-1.3
1977-09-01,1977,9,-0.8
1977-10-01,1977,10,-1.7
1977-10-01,1977,10,-1.0
1977-11-01,1977,11,-2.1
1977-11-01,1977,11,-1.3
1977-12-01,1977,12,-1.7
1977-12-01,1977,12,-1.1
1978-01-01,1978,1,-0.5
1978-01-01,1978,1,-0.3
1978-02-01,1978,2,-4.4
1978-02-01,1978,2,-2.7
1978-03-01,1978,3,-0.3
1978-03-01,1978,3,-0.2
1978-04-01,1978,4,-0.5
1978-04-01,1978,4,-0.3
1978-05-01,1978,5,2.2
1978-05-01,1978,5,1.4
1978-06-01,1978,6,1.1
1978-06-01,1978,6,0.7
1978-07-01,1978,7,0.9
1978-07-01,1978,7,0.6
1978-08-01,1978,8,0.7
1978-08-01,1978,8,0.4
1978-09-01,1978,9,0.1
1978-09-01,1978,9,0.1
1978-10-01,1978,10,-0.4
1978-10-01,1978,10,-0.6
1978-11-01,1978,11,-0.0
1978-11-01,1978,11,-0.0
1978-12-01,1978,12,-0.1
1978-12-01,1978,12,-0.1
1979-01-01,1979,1,-0.4
1979-01-01,1979,1,-0.7
1979-02-01,1979,2,1.0
1979-02-01,1979,2,1.6
1979-03-01,1979,3,0.1
1979-03-01,1979,3,0.2
1979-04-01,1979,4,-0.1
1979-04-01,1979,4,-0.2
1979-05-01,1979,5,0.5
1979-05-01,1979,5,0.8
1979-06-01,1979,6,0.6
1979-06-01,1979,6,1.1
1979-07-01,1979,7,1.3
1979-07-01,1979,7,2.2
1979-08-01,1979,8,-0.2
1979-08-01,1979,8,-0.3
1979-09-01,1979,9,0.1
1979-09-01,1979,9,0.2
1979-10-01,1979,10,-0.1
1979-10-01,1979,10,-0.2
1979-11-01,1979,11,-0.4
1979-11-01,1979,11,-0.7
1979-12-01,1979,12,-0.7
1979-12-01,1979,12,-1.2
1980-01-01,1980,1,0.4
1980-01-01,1980,1,0.7
1980-02-01,1980,2,0.5
1980-02-01,1980,2,0.3
1980-03-01,1980,3,-0.7
1980-03-01,1980,3,-0.4
1980-04-01,1980,4,-1.0
1980-04-01,1980,4,-0.6
1980-05-01,1980,5,-0.0
1980-05-01,1980,5,-0.0
1980-06-01,1980,6,-0.0
1980-06-01,1980,6,-0.0
1980-07-01,1980,7,-0.1
1980-07-01,1980,7,-0.0
1980-08-01,1980,8,0.6
1980-08-01,1980,8,0.4
1980-09-01,1980,9,-0.5
1980-09-01,1980,9,-0.8
1980-10-01,1980,10,0.0
1980-10-01,1980,10,0.0
1980-11-01,1980,11,-0.6
1980-11-01,1980,11,-0.3
1980-12-01,1980,12,-0.1
1980-12-01,1980,12,-0.1
1981-01-01,1981,1,0.4
1981-01-01,1981,1,0.6
1981-02-01,1981,2,-0.3
1981-02-01,1981,2,-0.2
1981-03-01,1981,3,-2.1
1981-03-01,1981,3,-1.3
1981-04-01,1981,4,-0.1
1981-04-01,1981,4,-0.2
1981-05-01,1981,5,1.3
1981-05-01,1981,5,0.8
1981-06-01,1981,6,2.0
1981-06-01,1981,6,1.2
1981-07-01,1981,7,0.8
1981-07-01,1981,7,1.4
1981-08-01,1981,8,1.2
1981-08-01,1981,8,0.7
1981-09-01,1981,9,0.5
1981-09-01,1981,9,0.3
1981-10-01,1981,10,-0.4
1981-10-01,1981,10,-0.6
1981-11-01,1981,11,0.3
