skor_total,skor_sd,skor_teknikal,skor_komoditas,skor_sentimen,skor_kalender,proba_naik,sinyal,ticker,sektor,rank,tanggal
51.4,52.9,30.0,50.0,50.0,0,0.654,SKIP,BMRI.JK,perbankan,1,2026-03-25
51.4,88.6,30.0,50.0,50.0,0,0.466,SKIP,PTBA.JK,tambang,2,2026-03-25
49.5,79.8,30.0,50.0,50.0,0,0.466,SKIP,ITMG.JK,tambang,3,2026-03-25
48.2,73.6,30.0,50.0,50.0,0,0.466,SKIP,ADRO.JK,tambang,4,2026-03-25
46.0,59.4,30.0,50.0,50.0,0,0.485,SKIP,ASII.JK,lainnya,5,2026-03-25
43.8,49.2,30.0,50.0,50.0,0,0.485,SKIP,TLKM.JK,lainnya,6,2026-03-25
42.9,6.6,30.0,50.0,50.0,0,0.684,SKIP,SIMP.JK,agribisnis,7,2026-03-25
42.7,6.1,30.0,50.0,50.0,0,0.684,SKIP,AALI.JK,agribisnis,8,2026-03-25
42.0,40.5,30.0,50.0,50.0,0,0.485,SKIP,ISAT.JK,lainnya,9,2026-03-25
34.6,5.4,30.0,50.0,50.0,0,0.485,SKIP,BNGA.JK,lainnya,10,2026-03-25
34.5,8.4,30.0,50.0,50.0,0,0.466,SKIP,ANTM.JK,tambang,11,2026-03-25
34.5,4.7,30.0,50.0,50.0,0,0.485,SKIP,AUTO.JK,lainnya,12,2026-03-25
34.1,2.9,30.0,50.0,50.0,0,0.485,SKIP,EXCL.JK,lainnya,13,2026-03-25
33.8,5.1,30.0,50.0,50.0,0,0.466,SKIP,INCO.JK,tambang,14,2026-03-25
