date,sp500_pct,sp500_lag1,sp500_lag2,sp500_ma5,sp500_trend,nasdaq_pct,nasdaq_lag1,nasdaq_lag2,nasdaq_ma5,nasdaq_trend,nikkei_pct,nikkei_lag1,nikkei_lag2,nikkei_ma5,nikkei_trend,hangseng_pct,hangseng_lag1,hangseng_lag2,hangseng_ma5,hangseng_trend,vix_pct,vix_lag1,vix_lag2,vix_ma5,vix_trend,vix_level,vix_tinggi,vix_panik,usdidr_pct,usdidr_lag1,usdidr_lag2,usdidr_ma5,usdidr_trend,rupiah_lemah,rupiah_volatil,euridr_pct,euridr_lag1,euridr_lag2,euridr_ma5,euridr_trend,usbond_pct,usbond_lag1,usbond_lag2,usbond_ma5,usbond_trend,bond_naik,bond_level
2023-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,
2023-03-27,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,20.600000381469727,0.0,0.0,-0.0026736202799049202,,,,0.0,0.0,,0.01598457519591978,,,,0.0,,,,,0.0,0.0,3.5280001163482666
2023-03-28,-0.0015738434957162095,,,,0.0,-0.004483004809774704,,,,0.0,0.0015060252739573787,,,,0.0,0.011087713652638165,,,,0.0,-0.030582575555772373,,,,0.0,19.96999931335449,0.0,0.0,-0.003077941419824537,-0.0026736202799049202,,,0.0,0.0,,0.0012855831037650312,0.01598457519591978,,,0.0,0.01020401750159916,,,,0.0,0.0,3.563999891281128
2023-03-29,0.014237268879836451,-0.0015738434957162095,,,0.0,0.017937753484835728,-0.004483004809774704,,,0.0,0.013283159244319664,0.0015060252739573787,,,0.0,0.020609411435099867,0.011087713652638165,,,0.0,-0.042563770823600966,-0.030582575555772373,,,0.0,19.1200008392334,0.0,0.0,-0.001958701281455366,-0.003077941419824537,-0.0026736202799049202,,0.0,0.0,,-0.0020787478601125287,0.0012855831037650312,0.01598457519591978,,0.0,0.0005611934683207309,0.01020401750159916,,,0.0,0.0,3.565999984741211
2023-03-30,0.005715269388667954,0.014237268879836451,-0.0015738434957162095,,0.0,0.007314081426607499,0.017937753484835728,-0.004483004809774704,,0.0,-0.0036167840916134786,0.013283159244319664,0.0015060252739573787,,0.0,0.0057809109611453025,0.020609411435099867,0.011087713652638165,,0.0,-0.005230145244791484,-0.042563770823600966,-0.030582575555772373,,0.0,19.020000457763672,0.0,0.0,-0.0007650600405814112,-0.001958701281455366,-0.003077941419824537,,0.0,0.0,,0.0,-0.0020787478601125287,0.0012855831037650312,,0.0,-0.004206356295507474,0.0005611934683207309,0.01020401750159916,,0.0,0.0,3.5510001182556152
2023-03-31,0.014436542471763847,0.005715269388667954,0.014237268879836451,,0.0,0.017350560198826193,0.007314081426607499,0.017937753484835728,,0.0,0.009306102133869842,-0.0036167840916134786,0.013283159244319664,,0.0,0.0044796853324229335,0.0057809109611453025,0.020609411435099867,,0.0,-0.01682437892337696,-0.005230145244791484,-0.042563770823600966,,0.0,18.700000762939453,0.0,0.0,,,,,,,,,,,,,-0.016051860974109378,-0.004206356295507474,0.0005611934683207309,,0.0,0.0,3.49399995803833
2023-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021304926764313947,-0.0007650600405814112,-0.001958701281455366,-0.0021229168878038607,0.0,0.0,0.0008783692390106264,-0.0015316750398235435,0.0,-0.0020787478601125287,0.002689988085440964,0.0,,,,,,,
2023-04-03,0.0036988464765423945,0.014436542471763847,0.005715269388667954,0.007299079272778508,0.0,-0.0026558827975756705,0.017350560198826193,0.007314081426607499,0.007051714169624024,0.0,0.005230462850863038,0.009306102133869842,-0.0036167840916134786,0.005128077024343147,0.0,0.0004446207779216227,0.0044796853324229335,0.0057809109611453025,0.008393584279053012,0.0,-0.008021471644866773,-0.01682437892337696,-0.005230145244791484,-0.021045078610821166,0.0,18.549999237060547,0.0,0.0,-0.004870563117160387,-0.0021304926764313947,-0.0007650600405814112,-0.0025595681310498497,0.0,0.0,0.0015309155641876778,-0.00042952690679265437,-0.0015316750398235435,0.0,-0.000551254410035229,0.0,-0.018317084158484098,-0.016051860974109378,-0.004206356295507474,-0.005535787675024162,0.0,0.0,3.430000066757202
2023-04-04,-0.005796972083329965,0.0036988464765423945,0.014436542471763847,0.006376050078044537,0.0,-0.00517825793420712,-0.0026558827975756705,0.017350560198826193,0.006829856208128371,0.0,0.003521675948025882,0.005230462850863038,0.009306102133869842,0.005517140800952447,0.0,-0.00659457390305751,0.0004446207779216227,0.0044796853324229335,0.004846304683260749,0.0,0.02425880223436394,-0.008021471644866773,-0.01682437892337696,-0.01017197260010505,0.0,19.0,0.0,0.0,0.0028830036875628906,-0.004870563117160387,-0.0021304926764313947,-0.0013730495697555911,0.0,0.0,0.0028121539682176688,-0.007980356046654369,-0.00042952690679265437,-0.0015316750398235435,-0.002402343510608196,0.0,-0.02711375269932559,-0.018317084158484098,-0.016051860974109378,-0.012894064063999844,0.0,0.0,3.336999893188477
2023-04-05,-0.002492370531228194,-0.005796972083329965,0.0036988464765423945,0.003065185917209279,0.0,-0.010676744384193637,-0.00517825793420712,-0.0026558827975756705,0.0011677108594509988,0.0,-0.016762227080431846,0.003521675948025882,0.005230462850863038,-0.0005030506484338115,0.0,,,,,,0.004210522300318376,0.02425880223436394,-0.008021471644866773,-0.00042378339842885637,0.0,19.07999992370605,0.0,0.0,-0.00013370771493514955,0.0028830036875628906,-0.004870563117160387,-0.0010078424828967592,0.0,0.0,0.0028347218866742623,0.007735148514851575,-0.007980356046654369,-0.00042952690679265437,-0.0004545957169712622,0.0,-0.014983504320256413,-0.02711375269932559,-0.018317084158484098,-0.016054784413176093,0.0,0.0,3.2869999408721924
