date,coal_pct,coal_lag1,coal_lag2,coal_ma5,oil_pct,oil_lag1,oil_lag2,oil_ma5,gold_pct,gold_lag1,gold_lag2,gold_ma5,cpo_pct,cpo_lag1,cpo_lag2,cpo_ma5
2023-03-27,,,,,,,,,,,,,,,,
2023-03-28,0.009534196808042683,,,,0.006784418339258913,,,,0.010243802371392663,,,,0.0062929061784897655,,,
2023-03-29,0.0014530491529238798,0.009534196808042683,,,-0.00470442135287541,0.006784418339258913,,,-0.003194102996422754,0.010243802371392663,,,0.0005685048322909836,0.0062929061784897655,,
2023-03-30,-0.0014509408645296817,0.0014530491529238798,0.009534196808042683,,0.012646881441078506,-0.00470442135287541,0.006784418339258913,,0.007222457361536705,-0.003194102996422754,0.010243802371392663,,0.0014204545454545858,0.0005685048322909836,0.0062929061784897655,
2023-03-31,0.004722188042828757,-0.0014509408645296817,0.0014530491529238798,,0.006307556719743257,0.012646881441078506,-0.00470442135287541,,-0.005706230646619459,0.007222457361536705,-0.003194102996422754,,-0.00028368794326238955,0.0014204545454545858,0.0005685048322909836,
2023-04-03,0.07266813326097088,0.004722188042828757,-0.0014509408645296817,0.017446932170334772,0.06468602080050201,0.006307556719743257,0.012646881441078506,0.017280310644462338,0.007567305441372518,-0.005706230646619459,0.007222457361536705,0.003201154424253616,-0.014188422247446097,-0.00028368794326238955,0.0014204545454545858,-0.0012512085537166318
2023-04-04,-0.033704076806785555,0.07266813326097088,0.004722188042828757,0.00814520174646205,0.00011776917690475841,0.06468602080050201,0.006307556719743257,0.015689700701645437,0.019305371382877246,0.007567305441372518,-0.005706230646619459,0.005044716349597911,0.023316062176165886,-0.014188422247446097,-0.00028368794326238955,0.002106941518136729
2023-04-05,-0.022323069904304438,-0.033704076806785555,0.07266813326097088,0.003260081847234142,0.000588596902828753,0.00011776917690475841,0.06468602080050201,0.016478791645090585,-0.0006428280037585887,0.019305371382877246,0.007567305441372518,0.005523363284596572,-0.02053445850914204,0.023316062176165886,-0.014188422247446097,-0.0021593362882145195
2023-04-06,-0.03210845662486239,-0.022323069904304438,-0.033704076806785555,-0.0028256569530611397,0.0015296492067322642,0.000588596902828753,0.00011776917690475841,0.014133863710514394,-0.004453461275309434,-0.0006428280037585887,0.019305371382877246,0.0031675045288608317,-0.012349224583572682,-0.02053445850914204,0.023316062176165886,-0.004897494305239114
2023-04-10,0.0,-0.03210845662486239,-0.022323069904304438,-0.003754617659131987,-0.011043261408306249,0.0015296492067322642,0.000588596902828753,0.010506262446954961,-0.011332595333490958,-0.004453461275309434,-0.0006428280037585887,0.0020084109090721114,-0.0017446932247746627,-0.012349224583572682,-0.02053445850914204,-0.005207737209568575
2023-04-11,-0.039808287058274106,0.0,-0.03210845662486239,-0.025741315879439952,0.016987411499069127,-0.011043261408306249,0.0015296492067322642,0.0016031693212581466,0.007893053860986932,-0.011332595333490958,-0.004453461275309434,0.002084166774438012,0.006408389163996553,-0.0017446932247746627,-0.012349224583572682,-0.0010930219179657863
2023-04-12,0.019193857965451144,-0.039808287058274106,0.0,-0.015473332300414477,0.02009112496718224,0.016987411499069127,-0.011043261408306249,0.005625645813317481,0.003042685274026846,0.007893053860986932,-0.011332595333490958,-0.0011244938978753893,-0.017076700434153436,0.006408389163996553,-0.0017446932247746627,-0.009156876295784433
2023-04-13,0.01092276420521432,0.019193857965451144,-0.039808287058274106,-0.00882199882834589,-0.014199077833101703,0.02009112496718224,0.016987411499069127,0.0025747219658684983,0.015117620988104763,0.003042685274026846,0.007893053860986932,0.0020323607451571135,-0.006183745583038913,-0.017076700434153436,0.006408389163996553,-0.006219122348154582
