date,open,high,low,close,volume
2023-03-27,975.0,990.0,955.0,965.0,29516400
2023-03-28,930.0,950.0,925.0,940.0,28893200
2023-03-29,940.0,950.0,930.0,945.0,21583100
2023-03-30,945.0,960.0,940.0,945.0,25300300
2023-03-31,955.0,960.0,935.0,945.0,20215800
2023-04-03,955.0,975.0,955.0,960.0,25562700
2023-04-04,970.0,980.0,935.0,940.0,21710000
2023-04-05,945.0,955.0,920.0,925.0,20128300
2023-04-06,920.0,945.0,915.0,935.0,11490700
2023-04-10,945.0,950.0,915.0,920.0,13169600
2023-04-11,925.0,935.0,920.0,930.0,8811100
2023-04-12,925.0,930.0,865.0,865.0,74992700
2023-04-13,850.0,850.0,805.0,805.0,53801700
2023-04-14,790.0,790.0,750.0,750.0,63622400
2023-04-17,715.0,750.0,700.0,705.0,272223100
2023-04-18,715.0,735.0,695.0,720.0,106834900
2023-04-26,725.0,745.0,710.0,735.0,49287500
2023-04-27,740.0,740.0,720.0,720.0,22078900
2023-04-28,720.0,725.0,700.0,700.0,50335300
2023-05-02,680.0,680.0,655.0,655.0,20745300
2023-05-03,610.0,645.0,610.0,625.0,71727300
2023-05-04,630.0,665.0,630.0,630.0,67511800
2023-05-05,630.0,635.0,590.0,595.0,101951800
2023-05-08,610.0,630.0,600.0,615.0,31718700
2023-05-09,620.0,650.0,615.0,625.0,52762800
2023-05-10,630.0,650.0,625.0,645.0,34071500
2023-05-11,645.0,650.0,600.0,605.0,46514500
2023-05-12,605.0,615.0,570.0,580.0,32451200
2023-05-15,585.0,615.0,560.0,610.0,33983800
2023-05-16,615.0,620.0,570.0,575.0,48472300
2023-05-17,580.0,595.0,550.0,585.0,46603600
2023-05-19,585.0,590.0,550.0,555.0,34328000
2023-05-22,555.0,575.0,530.0,540.0,52894900
2023-05-23,540.0,555.0,525.0,530.0,37913700
2023-05-24,530.0,550.0,520.0,535.0,30023000
2023-05-25,530.0,540.0,510.0,515.0,33130400
2023-05-26,520.0,525.0,500.0,520.0,20465200
2023-05-29,520.0,520.0,492.0,505.0,37425900
2023-05-30,505.0,520.0,498.0,510.0,13969900
2023-05-31,510.0,515.0,480.0,488.0,40642200
2023-06-05,488.0,530.0,480.0,530.0,69186900
2023-06-06,540.0,585.0,520.0,575.0,71323500
2023-06-07,575.0,595.0,545.0,580.0,47003200
2023-06-08,590.0,610.0,580.0,595.0,49340100
2023-06-09,595.0,615.0,585.0,595.0,32522200
2023-06-12,600.0,605.0,570.0,585.0,19613000
2023-06-13,585.0,585.0,565.0,575.0,13093600
2023-06-14,580.0,630.0,580.0,620.0,90387400
2023-06-15,625.0,645.0,600.0,625.0,52297200
2023-06-16,635.0,655.0,630.0,645.0,43896300
2023-06-19,645.0,650.0,630.0,640.0,16211900
2023-06-20,640.0,645.0,565.0,580.0,58069400
2023-06-21,585.0,605.0,580.0,595.0,27069100
