date,open,high,low,close,volume
2021-03-26,2110.0,2120.0,2070.0,2100.0,13398300
2021-03-29,2110.0,2120.0,2080.0,2090.0,12245400
2021-03-30,2100.0,2110.0,2040.0,2050.0,18449300
2021-03-31,2070.0,2090.0,2040.0,2090.0,14612300
2021-04-01,2090.0,2110.0,2060.0,2090.0,9835300
2021-04-05,2110.0,2120.0,2070.0,2070.0,7686500
2021-04-06,2080.0,2170.0,2070.0,2160.0,20579200
2021-04-07,2170.0,2200.0,2130.0,2200.0,20134200
2021-04-08,2200.0,2240.0,2160.0,2160.0,18247200
2021-04-09,2190.0,2200.0,2140.0,2160.0,18518700
2021-04-12,2160.0,2170.0,2050.0,2070.0,16509400
2021-04-13,2070.0,2090.0,2030.0,2040.0,18775300
2021-04-14,2060.0,2080.0,2040.0,2070.0,12979800
2021-04-15,2070.0,2070.0,2030.0,2050.0,22275200
2021-04-16,2080.0,2080.0,2010.0,2010.0,47488800
2021-04-19,2040.0,2080.0,2020.0,2030.0,27001500
2021-04-20,2030.0,2050.0,2010.0,2030.0,19262600
2021-04-21,2020.0,2040.0,2010.0,2020.0,11897000
2021-04-22,2020.0,2060.0,2020.0,2060.0,14378700
2021-04-23,2040.0,2060.0,2020.0,2040.0,11515600
2021-04-26,2060.0,2070.0,2020.0,2030.0,11699600
2021-04-27,2060.0,2060.0,2020.0,2020.0,11219900
2021-04-28,2020.0,2060.0,2020.0,2050.0,17312000
2021-04-29,2050.0,2120.0,2050.0,2090.0,26099500
2021-04-30,2100.0,2110.0,2070.0,2090.0,33397400
2021-05-03,2080.0,2090.0,2060.0,2060.0,8858000
2021-05-04,2050.0,2050.0,2020.0,2030.0,10799500
2021-05-05,2030.0,2070.0,2020.0,2060.0,10294200
2021-05-06,2060.0,2070.0,2030.0,2030.0,5918700
2021-05-07,2030.0,2040.0,2020.0,2030.0,9839900
2021-05-10,2030.0,2050.0,2030.0,2030.0,5405300
2021-05-11,2030.0,2030.0,2010.0,2020.0,10231300
2021-05-17,2020.0,2050.0,1980.0,1980.0,20517300
2021-05-18,1985.0,2060.0,1985.0,2060.0,18465100
2021-05-19,2050.0,2090.0,2010.0,2060.0,28031700
2021-05-20,2060.0,2230.0,2050.0,2220.0,134303900
2021-05-21,2220.0,2270.0,2160.0,2240.0,70443200
2021-05-24,2240.0,2250.0,2180.0,2230.0,29168300
2021-05-25,2230.0,2320.0,2210.0,2290.0,68743200
2021-05-27,2300.0,2410.0,2280.0,2390.0,68682000
2021-05-28,2390.0,2410.0,2310.0,2360.0,32188200
2021-05-31,2380.0,2550.0,2380.0,2460.0,101613500
2021-06-02,2480.0,2590.0,2450.0,2580.0,63670500
2021-06-03,2580.0,2630.0,2490.0,2560.0,56949100
2021-06-04,2560.0,2590.0,2480.0,2550.0,28430900
2021-06-07,2550.0,2620.0,2530.0,2590.0,39327600
2021-06-08,2540.0,2560.0,2410.0,2430.0,82070400
2021-06-09,2400.0,2500.0,2370.0,2470.0,34257300
2021-06-10,2490.0,2600.0,2430.0,2570.0,61336900
2021-06-11,2600.0,2610.0,2550.0,2570.0,30540200
2021-06-14,2550.0,2550.0,2460.0,2480.0,22979600
2021-06-15,2460.0,2540.0,2450.0,2500.0,26247200
2021-06-16,2540.0,2680.0,2500.0,2660.0,98526200
2021-06-17,2650.0,2680.0,2540.0,2590.0,58230800
2021-06-18,2590.0,2630.0,2470.0,2580.0,37770000
2021-06-21,2540.0,2740.0,2480.0,2700.0,80185500
2021-06-22,2720.0,2800.0,2710.0,2780.0,68415700
2021-06-23,2780.0,2790.0,2710.0,2750.0,37422900
2021-06-24,2780.0,2780.0,2710.0,2730.0,16817100
2021-06-25,2750.0,2750.0,2710.0,2730.0,14812100
2021-06-28,2740.0,2780.0,2620.0,2630.0,24892100
2021-06-29,2630.0,2700.0,2610.0,2630.0,25759600
2021-06-30,2630.0,2730.0,2610.0,2670.0,21387400
2021-07-01,2670.0,2700.0,2600.0,2640.0,35634200
2021-07-02,2650.0,2670.0,2630.0,2630.0,10735800
2021-07-05,2630.0,2660.0,2520.0,2550.0,43171800
2021-07-06,2600.0,2660.0,2560.0,2590.0,36414100
2021-07-07,2590.0,2630.0,2590.0,2600.0,11669900
2021-07-08,2610.0,2640.0,2520.0,2560.0,28020700
2021-07-09,2550.0,2610.0,2540.0,2600.0,16354900
2021-07-12,2630.0,2720.0,2590.0,2610.0,34004200
2021-07-13,2650.0,2670.0,2430.0,2440.0,49178300
2021-07-14,2420.0,2500.0,2360.0,2490.0,41389000
2021-07-15,2500.0,2530.0,2460.0,2480.0,17350000
2021-07-16,2470.0,2520.0,2460.0,2490.0,11208600
2021-07-19,2480.0,2480.0,2430.0,2470.0,16181200
2021-07-21,2470.0,2510.0,2450.0,2470.0,21375100
2021-07-22,2500.0,2540.0,2490.0,2510.0,20560000
2021-07-23,2510.0,2530.0,2440.0,2450.0,23954700
2021-07-26,2450.0,2470.0,2410.0,2410.0,23519000
2021-07-27,2410.0,2470.0,2410.0,2430.0,10169500
2021-07-28,2440.0,2460.0,2380.0,2400.0,20385100
2021-07-29,2420.0,2550.0,2420.0,2540.0,36647700
2021-07-30,2570.0,2700.0,2570.0,2690.0,67138900
2021-08-02,2700.0,2730.0,2620.0,2650.0,32009200
2021-08-03,2680.0,2690.0,2640.0,2660.0,18290200
2021-08-04,2670.0,2690.0,2620.0,2670.0,14578300
2021-08-05,2680.0,2680.0,2550.0,2610.0,30263300
2021-08-06,2610.0,2650.0,2580.0,2590.0,13753100
2021-08-09,2600.0,2650.0,2520.0,2560.0,22512400
2021-08-10,2500.0,2600.0,2500.0,2540.0,21559000
2021-08-12,2570.0,2640.0,2560.0,2610.0,19451900
2021-08-13,2640.0,2660.0,2550.0,2570.0,12413900
2021-08-16,2570.0,2630.0,2500.0,2590.0,27167400
2021-08-18,2560.0,2680.0,2520.0,2680.0,40629100
2021-08-19,2650.0,2650.0,2550.0,2600.0,28576300
2021-08-20,2600.0,2720.0,2570.0,2700.0,34938900
2021-08-23,2720.0,2770.0,2720.0,2730.0,23561300
2021-08-24,2750.0,2750.0,2610.0,2640.0,19932700
2021-08-25,2640.0,2690.0,2630.0,2680.0,10913100
2021-08-26,2680.0,2700.0,2620.0,2660.0,12159400
2021-08-27,2640.0,2680.0,2570.0,2650.0,13789800
2021-08-30,2650.0,2690.0,2650.0,2670.0,7667200
2021-08-31,2660.0,2700.0,2650.0,2670.0,10498000
2021-09-01,2680.0,2690.0,2640.0,2670.0,6824400
2021-09-02,2680.0,2740.0,2670.0,2680.0,12373000
2021-09-03,2690.0,2700.0,2650.0,2660.0,7800200
2021-09-06,2660.0,2680.0,2630.0,2640.0,8181800
2021-09-07,2640.0,2660.0,2600.0,2640.0,6058200
2021-09-08,2630.0,2650.0,2580.0,2610.0,13956400
2021-09-09,2610.0,2680.0,2550.0,2650.0,22673400
2021-09-10,2650.0,2730.0,2620.0,2690.0,15163300
2021-09-13,2680.0,2720.0,2660.0,2710.0,17860500
2021-09-14,2700.0,3040.0,2700.0,2950.0,116986300
2021-09-15,2940.0,3040.0,2920.0,3000.0,43293600
2021-09-16,3000.0,3000.0,2960.0,2970.0,18520800
2021-09-17,2990.0,3030.0,2960.0,3000.0,33427400
2021-09-20,3000.0,3000.0,2880.0,2980.0,11036600
